matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
190,Ioan Claudiu Mihalache,Andrea Milioli,4,9,22-Mar-19,2019 Mezz Bucharest Open
191,Serge Das,Gentjan Lengu,9,4,22-Mar-19,2019 Mezz Bucharest Open
192,Ferdi Özdemir,Alexandru Tintaru,9,3,22-Mar-19,2019 Mezz Bucharest Open
193,Preda Robert Alexandru,Roberto Maione,8,9,22-Mar-19,2019 Mezz Bucharest Open
194,Aurelian Apostol,Andras M Kiss,7,9,22-Mar-19,2019 Mezz Bucharest Open
195,Markus Messingschlager,Aleksandar Bogicevic,9,4,22-Mar-19,2019 Mezz Bucharest Open
196,Madalina Ciocan,Matija Obradovic,5,9,22-Mar-19,2019 Mezz Bucharest Open
197,Cristian Munteanu,John Tsirimokos,7,9,22-Mar-19,2019 Mezz Bucharest Open
198,Gabi Gosa,Vlad Adrian Moscalu,9,6,22-Mar-19,2019 Mezz Bucharest Open
199,Bare David,Rodrigo Matias,9,5,22-Mar-19,2019 Mezz Bucharest Open
200,Cristian Barto?,Gastaldi Guido,2,9,22-Mar-19,2019 Mezz Bucharest Open
201,Tahsin Kaplan,Emre Çelik,7,9,22-Mar-19,2019 Mezz Bucharest Open
202,Claudiu Groapa,Flaviu Cristian Hernea,9,8,22-Mar-19,2019 Mezz Bucharest Open
203,Thanasis Arguropoulos,Gal Frank,9,4,22-Mar-19,2019 Mezz Bucharest Open
204,Raileanu Silviu,Ali Koca,4,9,22-Mar-19,2019 Mezz Bucharest Open
205,Levent Kurtuluş,Liviu Chiritoiu,9,6,22-Mar-19,2019 Mezz Bucharest Open
206,Aleksandar Petrovic,Danilo Bruni,7,9,22-Mar-19,2019 Mezz Bucharest Open
207,Mircea Popa,Marius Vacarus,9,7,22-Mar-19,2019 Mezz Bucharest Open
208,Ralf Mrnka,Cocolin Adi,3,9,22-Mar-19,2019 Mezz Bucharest Open
209,Yasin Kartal,Razvan Antohi,9,4,22-Mar-19,2019 Mezz Bucharest Open
210,Patrizio Nuti,Vangelis Gremos,8,9,22-Mar-19,2019 Mezz Bucharest Open
211,Andrei Panghea,Iurie Betivu,9,8,22-Mar-19,2019 Mezz Bucharest Open
212,Alexandru Pitea,Ionut Chicomban,9,4,22-Mar-19,2019 Mezz Bucharest Open
213,Iulian Dragne,Ates Bora Duru,4,9,22-Mar-19,2019 Mezz Bucharest Open
214,Alexandru Marcoci,Costin Neaga,5,9,22-Mar-19,2019 Mezz Bucharest Open
215,Heinz Kuenzel,Evangelos Vlachos,7,9,22-Mar-19,2019 Mezz Bucharest Open
216,Victor Toma,Mihai Alexandru Neacsu,4,9,22-Mar-19,2019 Mezz Bucharest Open
217,Grachev Artur,Tim Jonkman,0,9,22-Mar-19,2019 Mezz Bucharest Open
218,Ion Chiverega,Bogdan Sacal,9,5,22-Mar-19,2019 Mezz Bucharest Open
219,Giannis Dimitrakis,Spasian Spasov,6,9,22-Mar-19,2019 Mezz Bucharest Open
220,Ion Marian Tudorache,Gianluca Cappella,5,9,22-Mar-19,2019 Mezz Bucharest Open
221,Nicolae Berendea,Evgeniy Genchev,9,4,22-Mar-19,2019 Mezz Bucharest Open
222,Dinca Steriu,Cristian Oprea,4,9,22-Mar-19,2019 Mezz Bucharest Open
223,Costas Konnaris,Maican Raul,9,5,22-Mar-19,2019 Mezz Bucharest Open
224,Idd Gaetan Poelman,Voiculescu Ciprian,9,1,22-Mar-19,2019 Mezz Bucharest Open
225,Razvan Florea,Bogdan Nechifor,6,9,22-Mar-19,2019 Mezz Bucharest Open
226,Massimiliano Corso,Gabriel Sera,9,2,22-Mar-19,2019 Mezz Bucharest Open
227,Andrea Cianciaruso,Tal Frank,9,6,22-Mar-19,2019 Mezz Bucharest Open
228,Cristi Cristoiu,Evren Kaya,9,8,22-Mar-19,2019 Mezz Bucharest Open
229,Vladimir Babic,Radulescu Dragos,9,8,22-Mar-19,2019 Mezz Bucharest Open
230,Sebastian Mihai Ionita,Cristi Ciucas,3,9,22-Mar-19,2019 Mezz Bucharest Open
231,Vahdet Emre Varlik,Zoran Krstic,9,4,22-Mar-19,2019 Mezz Bucharest Open
232,David Avakiani,Eugen Leonte,8,9,22-Mar-19,2019 Mezz Bucharest Open
233,Yorben Vervondel,Olivier Mortier,7,9,22-Mar-19,2019 Mezz Bucharest Open
234,Michal Czajkowski,Giorgi Gogishvili,9,3,22-Mar-19,2019 Mezz Bucharest Open
235,Jovan Babovic,Valentin Dinu,7,9,22-Mar-19,2019 Mezz Bucharest Open
236,Bora Anar,Galgau Daniel,9,6,22-Mar-19,2019 Mezz Bucharest Open
237,Zapryan Zapryanov,Gabriel Roberto Gheorghita,0,9,22-Mar-19,2019 Mezz Bucharest Open
238,Armen Tabakovic,Alexandru Chiriac,9,2,22-Mar-19,2019 Mezz Bucharest Open
239,Luca Nicoletti,Volosciuc Corneliu,9,6,22-Mar-19,2019 Mezz Bucharest Open
240,Balasica Cristian,Murat Teker,6,9,22-Mar-19,2019 Mezz Bucharest Open
241,Sonia Simionov,Catalin Bargaoanu,3,9,22-Mar-19,2019 Mezz Bucharest Open
242,Vladica Brkovic,Ioannis Kavouras,3,9,22-Mar-19,2019 Mezz Bucharest Open
243,Mario Valchev,Gener Amet,9,6,22-Mar-19,2019 Mezz Bucharest Open
244,Aleksi Almasia,Stevan Radenkovic,3,9,22-Mar-19,2019 Mezz Bucharest Open
245,Jalba Gabriel,Tudor Spulber,3,9,22-Mar-19,2019 Mezz Bucharest Open
246,Darko Ilic,Motti Ben Simoin,9,7,22-Mar-19,2019 Mezz Bucharest Open
247,Darko Stankovi?,Aleksandar Filipovi?,5,9,22-Mar-19,2019 Mezz Bucharest Open
248,Iliyan Kiryakov,Panos Petmezas,9,7,22-Mar-19,2019 Mezz Bucharest Open
249,Kostas Koukiadakis,Ielchici Iasmin,9,2,22-Mar-19,2019 Mezz Bucharest Open
250,Lorenzo Giordani,Sakis Lainas,7,9,22-Mar-19,2019 Mezz Bucharest Open
251,Ferdi Özdemir,Slobodan Banjanac,9,1,22-Mar-19,2019 Mezz Bucharest Open
252,Roberto Maione,Kristiyan Spasov,1,9,22-Mar-19,2019 Mezz Bucharest Open
253,Andras M Kiss,Onur Yildirim,3,9,22-Mar-19,2019 Mezz Bucharest Open
254,Markus Messingschlager,Rich Fulwell,7,9,22-Mar-19,2019 Mezz Bucharest Open
255,Matija Obradovic,Marius Blaj,9,6,22-Mar-19,2019 Mezz Bucharest Open
256,Gabi Gosa,Alexandru Cotescu,3,9,22-Mar-19,2019 Mezz Bucharest Open
257,Bare David,Cristian Surdea,5,9,22-Mar-19,2019 Mezz Bucharest Open
258,Gastaldi Guido,Imran Majid,5,9,22-Mar-19,2019 Mezz Bucharest Open
259,Emre Çelik,Rico Diks,7,9,22-Mar-19,2019 Mezz Bucharest Open
260,Claudiu Groapa,Edmond Zaja,3,9,22-Mar-19,2019 Mezz Bucharest Open
261,Thanasis Arguropoulos,Stefan Danescu,9,5,22-Mar-19,2019 Mezz Bucharest Open
262,Ali Koca,Georgiou Lefteris,4,9,22-Mar-19,2019 Mezz Bucharest Open
263,Levent Kurtuluş,Traian Marinca,5,9,22-Mar-19,2019 Mezz Bucharest Open
264,Danilo Bruni,Dan Afriat,5,9,22-Mar-19,2019 Mezz Bucharest Open
265,Bogdan Gabriel Toma,Aris Çakiris,6,9,22-Mar-19,2019 Mezz Bucharest Open
266,Mircea Popa,Kulcear Bela,8,9,22-Mar-19,2019 Mezz Bucharest Open
267,Cocolin Adi,Andrei Cristian Ionescu,9,8,22-Mar-19,2019 Mezz Bucharest Open
268,Yasin Kartal,George Kampourlidis,5,9,22-Mar-19,2019 Mezz Bucharest Open
269,Vangelis Gremos,Anastasiei Alin-florin,9,1,22-Mar-19,2019 Mezz Bucharest Open
270,Andrei Panghea,Mihai Alexandru,9,8,22-Mar-19,2019 Mezz Bucharest Open
271,Alexandru Pitea,Anders Edvardsson,6,9,22-Mar-19,2019 Mezz Bucharest Open
272,Ates Bora Duru,Gabriel Syarov,9,7,22-Mar-19,2019 Mezz Bucharest Open
273,Evangelos Vlachos,Gelu Zah,9,8,22-Mar-19,2019 Mezz Bucharest Open
274,Mihai Alexandru Neacsu,Furkan Sahin,9,8,22-Mar-19,2019 Mezz Bucharest Open
275,Tim Jonkman,Thomas Charmantzis,9,2,22-Mar-19,2019 Mezz Bucharest Open
276,Ion Chiverega,Albert Gabos,8,9,22-Mar-19,2019 Mezz Bucharest Open
277,Spasian Spasov,Marian Apostol,9,3,22-Mar-19,2019 Mezz Bucharest Open
278,Gianluca Cappella,Angelo Salzano,9,3,22-Mar-19,2019 Mezz Bucharest Open
279,Nicolae Berendea,Dejan Sipkovski,3,9,22-Mar-19,2019 Mezz Bucharest Open
280,Cristian Oprea,Erol Kayas,4,9,22-Mar-19,2019 Mezz Bucharest Open
281,Costas Konnaris,Antonakis George,9,8,22-Mar-19,2019 Mezz Bucharest Open
282,Idd Gaetan Poelman,Kercso Zoltan,7,9,22-Mar-19,2019 Mezz Bucharest Open
283,Bogdan Nechifor,Dragos Lucian Lucaniuc,3,9,22-Mar-19,2019 Mezz Bucharest Open
